Company Name,Industry,Symbol,Series,ISIN Code,SEBI Sector,NSE Sectoral Index,Market Cap Category (SEBI),F&O Eligible,Listing Date (NSE),Delisting Status
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,Financial Services,Nifty Financial Services,Large Cap,Yes,18-Nov-21,Active
Onesource Specialty Pharma Ltd.,Healthcare,ONESOURCE,EQ,INE013P01021,Pharmaceuticals,Nifty Pharma,Small Cap,No,28-Feb-25,Active
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,Information Technology,Nifty IT,Large Cap,Yes,10-Dec-02,Active
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,Financial Services,Nifty Financial Services,Mid Cap,Yes,15-Nov-21,Active
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-04,Active
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029,Consumer Durables,Nifty Consumer Durables,Small Cap,No,09-Jan-24,Active
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,Chemicals,Nifty Chemicals,Mid Cap,Yes,03-Sep-12,Active
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012,Financial Services,Nifty Financial Services,Mid Cap,Yes,07-Nov-16,Active
PTC Industries Ltd.,Capital Goods,PTCIL,EQ,INE596F01018,Capital Goods,Nifty India Manufacturing,Small Cap,No,11-Aug-21,Active
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,EQ,INE191H01014,Media & Entertainment,Nifty Media,Mid Cap,Yes,01-Jan-06,Active
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,Textiles,Nifty India Consumption,Mid Cap,Yes,14-Mar-07,Active
Paradeep Phosphates Ltd.,Chemicals,PARADEEP,EQ,INE088F01024,Chemicals,Nifty Chemicals,Small Cap,No,05-Apr-22,Active
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,FMCG,Nifty FMCG,Small Cap,No,30-Jan-02,Active
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,Information Technology,Nifty IT,Large Cap,Yes,06-Apr-10,Active
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Mid Cap,Yes,26-Mar-04,Active
Pfizer Ltd.,Healthcare,PFIZER,EQ,INE182A01018,Pharmaceuticals,Nifty Pharma,Small Cap,No,01-Jan-94,Active
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,Real Estate,Nifty Realty,Mid Cap,Yes,01-Jan-95,Active
Physicswallah Ltd.,Consumer Services,PWL,EQ,INE0LP301011,Consumer Services,Nifty India Consumption,Small Cap,No,06-Feb-25,Active
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,Chemicals,Nifty Chemicals,Large Cap,Yes,26-Mar-96,Active
Pine Labs Ltd.,Financial Services,PINELABS,EQ,INE15B701018,Financial Services,Nifty Financial Services,Small Cap,No,21-Mar-25,Active
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038,Financial Services,Nifty Financial Services,Small Cap,No,09-Jul-25,Active
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011,Pharmaceuticals,Nifty Pharma,Small Cap,No,02-Dec-22,Active
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021,Healthcare Services,Nifty Healthcare Index,Small Cap,No,11-Mar-99,Active
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,Capital Goods,Nifty India Manufacturing,Small Cap,Yes,16-Apr-19,Active
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Jan-02,Active
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,Financial Services,Nifty Financial Services,Large Cap,Yes,23-Feb-07,Active
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,Power,Nifty Energy,Large Cap,Yes,05-Oct-07,Active
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,Capital Goods,Nifty India Manufacturing,Small Cap,No,06-Sep-24,Active
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,Real Estate,Nifty Realty,Mid Cap,Yes,27-Oct-10,Active
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,Banking,Nifty Bank,Small Cap,Yes,01-Jan-02,Active
R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,Capital Goods,Nifty India Manufacturing,Small Cap,No,24-Oct-23,Active
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028,Banking,Nifty Bank,Mid Cap,Yes,25-Aug-16,Active
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,Financial Services,Nifty Financial Services,Large Cap,Yes,12-Mar-08,Active
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM,EQ,INE743M01012,Capital Goods,Nifty India Manufacturing,Small Cap,No,14-Jan-11,Active
RITES Ltd.,Construction,RITES,EQ,INE320J01015,Construction,Nifty Infrastructure,Mid Cap,Yes,02-Jul-18,Active
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028,FMCG,Nifty FMCG,Mid Cap,No,01-Jan-00,Active
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,Construction,Nifty Infrastructure,Mid Cap,Yes,11-Apr-19,Active
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019,Telecommunication,Nifty Services Sector,Small Cap,No,26-Feb-21,Active
Rainbow Childrens Medicare Ltd.,Healthcare,RAINBOW,EQ,INE961O01016,Healthcare Services,Nifty Healthcare Index,Mid Cap,No,10-Sep-21,Active
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023,Automobiles & Auto Components,Nifty Auto,Small Cap,No,18-Mar-04,Active
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026,Services,Nifty Services Sector,Mid Cap,No,22-Feb-07,Active
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,29-Nov-95,Active
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033,Power,Nifty Energy,Small Cap,No,11-Mar-08,Active
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016,Financial Services,Nifty Financial Services,Small Cap,No,16-Aug-23,Active
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,Financial Services,Nifty Financial Services,Mid Cap,Yes,16-Mar-20,Active
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,Insurance,Nifty Financial Services,Large Cap,Yes,03-Oct-17,Active
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,Power,Nifty Energy,Mid Cap,Yes,20-May-10,Active
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,Chemicals,Nifty Chemicals,Large Cap,Yes,01-Jan-96,Active
Sagility Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,Information Technology,Nifty IT,Small Cap,No,12-Nov-24,Active
Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,Pharmaceuticals,Nifty Pharma,Small Cap,No,03-Jan-25,Active
Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-10,Active
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,01-Apr-11,Active
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,Consumer Services,Nifty India Consumption,Small Cap,No,18-Oct-21,Active
Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,Metals & Mining,Nifty Metal,Small Cap,No,01-Jan-04,Active
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,Media & Entertainment,Nifty Media,Small Cap,No,01-Jan-99,Active
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,Automobiles & Auto Components,Nifty Auto,Small Cap,No,09-Jul-99,Active
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018,Capital Goods,Nifty India Manufacturing,Small Cap,No,08-Nov-11,Active
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011,Services,Nifty Services Sector,Small Cap,No,01-Jan-95,Active
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,Construction Materials,Nifty Infrastructure,Small Cap,No,01-Jan-95,Active
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,Financial Services,Nifty Financial Services,Large Cap,Yes,01-Jan-97,Active
Shyam Metalics and Energy Ltd.,Capital Goods,SHYAMMETL,EQ,INE810G01011,Capital Goods,Nifty India Manufacturing,Small Cap,No,14-Sep-21,Active
Siemens Energy India Ltd.,Capital Goods,ENRIN,EQ,INE1NPP01017,Capital Goods,Nifty India Manufacturing,Small Cap,No,10-Feb-25,Active
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Jan-94,Active
Signatureglobal (India) Ltd.,Realty,SIGNATURE,EQ,INE903U01023,Real Estate,Nifty Realty,Small Cap,No,22-Sep-23,Active
Sobha Ltd.,Realty,SOBHA,EQ,INE671H01015,Real Estate,Nifty Realty,Small Cap,No,05-Dec-06,Active
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,Chemicals,Nifty Chemicals,Mid Cap,Yes,25-May-06,Active
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,24-Jun-21,Active
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021,Information Technology,Nifty IT,Small Cap,No,01-Jan-99,Active
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011,Insurance,Nifty Financial Services,Mid Cap,Yes,10-Dec-21,Active
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,Banking,Nifty Bank,Large Cap,Yes,01-Mar-94,Active
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,Metals & Mining,Nifty Metal,Mid Cap,Yes,16-Dec-03,Active
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM,EQ,INE258G01013,Chemicals,Nifty Chemicals,Small Cap,No,23-May-01,Active
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,14-Oct-94,Active
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027,Media & Entertainment,Nifty Media,Small Cap,No,01-Jan-96,Active
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-94,Active
Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-94,Active
Supreme Petrochem Ltd.,Chemicals,SPLPETRO,EQ,INE663A01033,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-95,Active
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-06,Active
Swan Corp Ltd.,Chemicals,SWANCORP,EQ,INE665A01038,Chemicals,Nifty Chemicals,Small Cap,No,21-Jan-25,Active
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,Consumer Services,Nifty India Consumption,Mid Cap,No,13-Nov-24,Active
Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,11-Aug-15,Active
Syrma SGS Technology Ltd.,Capital Goods,SYRMA,EQ,INE0DYJ01015,Capital Goods,Nifty India Manufacturing,Small Cap,No,26-Aug-22,Active
TBO Tek Ltd.,Consumer Services,TBOTEK,EQ,INE673O01025,Consumer Services,Nifty India Consumption,Small Cap,No,15-May-24,Active
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,01-Aug-00,Active
Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016,Financial Services,Nifty Financial Services,Small Cap,No,23-Jul-25,Active
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-95,Active
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013,Telecommunication,Nifty Services Sector,Mid Cap,Yes,01-Nov-00,Active
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,Information Technology,Nifty IT,Large Cap,Yes,25-Aug-04,Active
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,FMCG,Nifty FMCG,Large Cap,Yes,01-Jan-95,Active
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012,Information Technology,Nifty IT,Mid Cap,Yes,01-Jan-95,Active
Tata Investment Corporation Ltd.,Financial Services,TATAINVEST,EQ,INE672A01026,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Jan-95,Active
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Sep-25,Active
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,01-Sep-25,Active
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,Power,Nifty Energy,Large Cap,Yes,01-Jan-96,Active
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,Metals & Mining,Nifty Metal,Large Cap,Yes,01-Jan-97,Active
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025,Information Technology,Nifty IT,Mid Cap,Yes,30-Nov-23,Active
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013,Telecommunication,Nifty Services Sector,Small Cap,No,01-Jan-02,Active
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,Information Technology,Nifty IT,Large Cap,Yes,28-Aug-06,Active
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026,Construction,Nifty Infrastructure,Small Cap,No,01-Jan-95,Active
Tega Industries Ltd.,Capital Goods,TEGA,EQ,INE011K01018,Capital Goods,Nifty India Manufacturing,Small Cap,No,13-Dec-21,Active
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012,Telecommunication,Nifty Services Sector,Small Cap,No,27-Jun-17,Active
Tenneco Clean Air India Ltd.,Automobile and Auto Components,TENNIND,EQ,INE19RI01016,Automobiles & Auto Components,Nifty Auto,Small Cap,No,14-Mar-24,Active
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017,Financial Services,Nifty Financial Services,Small Cap,No,13-Nov-00,Active
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037,Construction Materials,Nifty Infrastructure,Mid Cap,Yes,01-Jan-95,Active
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Timken India Ltd.,Capital Goods,TIMKEN,EQ,INE325A01013,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-95,Active
Titagarh Rail Systems Ltd.,Capital Goods,TITAGARH,EQ,INE615H01020,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-04,Active
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,Consumer Durables,Nifty Consumer Durables,Large Cap,Yes,01-Jan-95,Active
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,01-Jan-94,Active
Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021,Power,Nifty Energy,Mid Cap,Yes,14-Nov-06,Active
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026,Capital Goods,Nifty India Manufacturing,Small Cap,No,14-Nov-23,Active
Travel Food Services Ltd.,Consumer Services,TRAVELFOOD,EQ,INE103V01028,Consumer Services,Nifty India Consumption,Small Cap,No,05-Jun-25,Active
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,Consumer Services,Nifty India Consumption,Large Cap,Yes,28-May-99,Active
Trident Ltd.,Textiles,TRIDENT,EQ,INE064C01022,Textiles,Nifty India Consumption,Small Cap,No,01-Jan-99,Active
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-04,Active
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,26-Sep-16,Active
UCO Bank,Financial Services,UCOBANK,EQ,INE691A01018,Banking,Nifty Bank,Mid Cap,Yes,01-Jan-03,Active
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023,Automobiles & Auto Components,Nifty Auto,Small Cap,No,05-Jun-15,Active
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-00,Active
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016,Financial Services,Nifty Financial Services,Mid Cap,No,12-Oct-20,Active
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,Construction Materials,Nifty Infrastructure,Large Cap,Yes,18-Jul-04,Active
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016,Banking,Nifty Bank,Mid Cap,Yes,24-Sep-02,Active
United Breweries Ltd.,Fast Moving Consumer Goods,UBL,EQ,INE686F01025,FMCG,Nifty FMCG,Mid Cap,Yes,01-Jan-98,Active
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,FMCG,Nifty FMCG,Small Cap,No,02-Jul-97,Active
Urban Company Ltd.,Consumer Services,URBANCO,EQ,INE0CAZ01013,Consumer Services,Nifty India Consumption,Small Cap,No,17-Sep-25,Active
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-97,Active
Vardhman Textiles Ltd.,Textiles,VTL,EQ,INE825A01020,Textiles,Nifty India Consumption,Small Cap,No,01-Jan-95,Active
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,FMCG,Nifty FMCG,Large Cap,Yes,08-Mar-16,Active
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,Metals & Mining,Nifty Metal,Large Cap,Yes,13-May-14,Active
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024,Healthcare Services,Nifty Healthcare Index,Small Cap,No,14-Sep-21,Active
Vishal Mega Mart Ltd.,Consumer Services,VMM,EQ,INE01EA01019,Consumer Services,Nifty India Consumption,Small Cap,No,18-Dec-24,Active
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016,Telecommunication,Nifty Services Sector,Small Cap,No,01-Jan-07,Active
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021,Consumer Durables,Nifty Consumer Durables,Mid Cap,Yes,01-Jan-94,Active
Waaree Energies Ltd.,Capital Goods,WAAREEENER,EQ,INE377N01017,Capital Goods,Nifty India Manufacturing,Small Cap,No,24-Oct-24,Active
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Welspun Living Ltd.,Textiles,WELSPUNLIV,EQ,INE192B01031,Textiles,Nifty India Consumption,Small Cap,No,01-Jan-01,Active
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013,Consumer Durables,Nifty Consumer Durables,Small Cap,No,01-Jan-95,Active
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,Information Technology,Nifty IT,Large Cap,Yes,01-Jun-95,Active
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025,Pharmaceuticals,Nifty Pharma,Small Cap,No,01-Jan-96,Active
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035,Banking,Nifty Bank,Small Cap,Yes,12-Jul-05,Active
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-09,Active
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028,Media & Entertainment,Nifty Media,Mid Cap,Yes,01-Jan-93,Active
Zen Technologies Ltd.,Capital Goods,ZENTEC,EQ,INE251B01027,Capital Goods,Nifty India Manufacturing,Small Cap,No,13-Sep-18,Active
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027,Information Technology,Nifty IT,Small Cap,No,01-Jan-99,Active
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,09-Mar-22,Active
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL,EQ,INE768C01028,FMCG,Nifty FMCG,Small Cap,No,01-Jan-95,Active
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010,Services,Nifty Services Sector,Small Cap,No,31-Dec-07,Active
